Date,PriceUSD
2020-02-15,1593.31959728986
2020-02-16,1594.36295926958
2020-02-17,1593.09
2020-02-18,1603.6542838013
2020-02-19,1611.15179782535
2020-02-20,1622.87
2020-02-21,1644.95917017584
2020-02-22,1649.29547027578
2020-02-23,1653.27435829755
2020-02-24,1658.15135568621
2020-02-25,1638.15933115858
2020-02-26,1640.82607181301
2020-02-27,1759.00561943364
2020-02-28,1591.4809734282
2020-02-29,1593.03002338948
2020-03-01,1583.40336383112
2020-03-02,1601.41091936178
2020-03-03,1650.52280888369
2020-03-04,1641.00977005518
2020-03-05,1674.72935242548
2020-03-06,1679.07381082273
2020-03-07,1674.93
2020-03-08,1712.35349762282
2020-03-09,1660.82223019852
2020-03-10,1665.68843186863
2020-03-11,1643.39757202657
2020-03-12,1553.26468129833
2020-03-13,1707.96595975835
2020-03-14,1532.20172526808
2020-03-15,1564.25747224296
2020-03-16,1506.99586270192
2020-03-17,1553.32431422937
2020-03-18,1519.09617831241
2020-03-19,1473.33429570746
2020-03-20,1497.97844531054
2020-03-21,1499.67579102184
2020-03-22,1515.43862575928
2020-03-23,1605.44100030684
2020-03-24,1648.04954192833
2020-03-25,1637.90131584401
2020-03-26,1701.21250905903
2020-03-27,1617.96012321944
2020-03-28,1628.95762237724
2020-03-29,1629.39378059022
2020-03-30,1663.86103189567
2020-03-31,1608.19849933519
2020-04-01,1615.87545154299
2020-04-02,1605.66237045815
2020-04-03,1620.71401408688
2020-04-04,1620.72824926577
2020-04-05,1619.90584752167
2020-04-06,1668.30525200555
2020-04-07,1672.40287914086
2020-04-08,1650.01454689574
2020-04-09,1680
2020-04-10,1700.66156269188
2020-04-11,1697.5
2020-04-12,1692.12735211606
2020-04-13,1730.27307173075
2020-04-14,1769.1233008019
2020-04-15,1725.08463253066
2020-04-16,1720.09839397458
2020-04-17,1686.66384471948
2020-04-18,1681.90093051377
2020-04-19,1691.61431576146
2020-04-20,1681.84053219049
2020-04-21,1685.35318222843
2020-04-22,1720.30675050968
2020-04-23,1731.96834961934
2020-04-24,1733.41292418421
2020-04-25,1739.12516339955
2020-04-26,1740.38879674215
2020-04-27,1720.02119550344
2020-04-28,1715.95532931816
2020-04-29,1712.26145602824
2020-04-30,1692.29797857244
2020-05-01,1740.36831871579
2020-05-02,1701.61314789307
2020-05-03,1717.29986037749
2020-05-04,1715.01749942987
2020-05-05,1702.78429042713
2020-05-06,1689.71487952949
2020-05-07,1710.15575822162
2020-05-08,1711.15263885831
2020-05-09,1699.34154263843
2020-05-10,1707.22595173702
2020-05-11,1696.62328862969
2020-05-12,1701.71011862491
2020-05-13,1714.71632495272
2020-05-14,1736.78641895888
2020-05-15,1740.37274098108
2020-05-16,1745.41558518983
2020-05-17,1751.56498444334
2020-05-18,1744.31442674628
2020-05-19,1766.86537298957
2020-05-20,1766.15807462969
2020-05-21,1741.46716260554
2020-05-22,1743.94597588503
2020-05-23,1731.44853927661
2020-05-24,1735.90969119728
2020-05-25,1725.14116397903
2020-05-26,1707.56513967649
2020-05-27,1711.26585985343
2020-05-28,1722.38240006367
2020-05-29,1744.43238938847
2020-05-30,1727.17624804069
2020-05-31,1738.67907866579
2020-06-01,1739.89442730554
2020-06-02,1727.3883727576
2020-06-03,1698.02399136879
2020-06-04,1713.34997797518
2020-06-05,1694.25353766957
2020-06-06,1687.16903857393
2020-06-07,1681.80817375139
2020-06-08,1695.26003112611
2020-06-09,1714.62309474433
2020-06-10,1732.61611739214
2020-06-11,1726.0038180027
2020-06-12,1727.49239257327
2020-06-13,1727.07194616807
2020-06-14,1731.56644097127
2020-06-15,1724.71786764841
2020-06-16,1734.20093394139
2020-06-17,1730.54619113788
2020-06-18,1726.20317344865
2020-06-19,1738.66389086084
2020-06-20,1744.5081294389
2020-06-21,1748.45134019121
2020-06-22,1758.03701171611
2020-06-23,1776.93258882051
2020-06-24,1770.2997630376
2020-06-25,1776.83587582639
2020-06-26,1790.29369539521
2020-06-27,1792.50147791501
